school_id,school_name,typing_learners,typing_lessons,quill_learners,quill_sessions,quill_avg_score,det_learners,efset_learners,northstar_learners,platform_learners,learners_with_assessment,learners_without_assessment
ID_SCH_784483,ASYV,17,294,28,728,97.8,26,27,0,28,28,0
ID_SCH_662070,CIC Muramba,18,306,26,353,93.2,22,22,7,27,24,3
ID_SCH_030625,Cornerstone Leadership Academy,10,265,29,687,96.3,26,28,13,30,29,1
ID_SCH_172122,ES Juru,17,493,25,561,96.0,18,18,3,25,18,7
ID_SCH_298130,ES Mubuga,11,24,11,13,92.3,13,12,0,16,13,3
ID_SCH_066153,Rukomo Sopem,17,120,11,28,96.2,18,17,4,21,20,1
ID_SCH_300572,ES Gisenyi,17,203,22,417,94.7,19,19,4,24,20,4
ID_SCH_975130,ENDP Karubanda,28,751,35,961,97.7,28,24,0,35,28,7
ID_SCH_511502,ES Kirambo,13,75,0,0,0.0,15,15,18,13,13,0
ID_SCH_749704,ES Rusumo,20,281,23,290,93.5,23,23,12,24,24,0
ID_SCH_271223,ES Gikonko,23,630,23,537,91.1,21,21,16,25,24,1
ID_SCH_574873,Es Ruhango,21,857,24,584,92.8,21,21,19,24,24,0
ID_SCH_185679,ES Sancta Maria Karambo,20,104,15,59,98.0,17,19,0,22,20,2
ID_SCH_997051,Fawe Girls School Gahini,1,5,25,525,94.8,19,19,22,25,25,0
ID_SCH_585777,Gs Muhura,18,284,25,549,96.8,20,21,23,25,24,1
ID_SCH_557120,St. Matthieu Busasamana,19,288,24,593,92.3,19,19,0,24,19,5
ID_SCH_692315,Lycee St Jerome Janja,19,341,25,584,96.5,18,18,0,25,19,6
ID_SCH_230968,St Joseph Nyamasheke,22,408,0,0,0.0,22,22,0,22,22,0
ID_SCH_941471,GS St Paul Muko,21,190,5,19,91.8,20,21,5,21,21,0
ID_SCH_663074,GS Notre Dame Bon Conseil,15,195,26,632,96.6,23,23,0,26,23,3
ID_SCH_830588,GS Gihundwe,17,168,24,210,96.5,18,18,0,29,22,7
ID_SCH_749630,Gs Gihara,18,154,0,0,0.0,15,17,16,18,18,0
ID_SCH_126493,Gs Gishyita,21,147,0,0,0.0,20,19,0,21,21,0
ID_SCH_155196,GS Kinigi,16,49,0,0,0.0,8,16,0,16,16,0
ID_SCH_452997,GS Maranyundo,1,4,0,0,0.0,1,1,0,1,1,0
ID_SCH_145402,Gs Mubuga Gakenke,18,185,0,0,0.0,16,18,0,18,18,0
ID_SCH_223450,GS Mubuga N,5,5,0,0,0.0,7,11,10,5,5,0
ID_SCH_204644,GS Nyange,16,152,22,82,91.9,17,18,16,25,24,1
ID_SCH_665972,GS Rambura Filles,21,482,24,602,93.2,20,21,0,24,21,3
ID_SCH_567085,GS Remera Indangamirwa,7,16,0,0,0.0,3,5,0,7,6,1
ID_SCH_149854,GS Mburabuturo,10,44,0,0,0.0,8,7,0,10,8,2
ID_SCH_308428,GS Nyagasambu,19,109,12,32,96.0,22,21,17,23,23,0
ID_SCH_068801,GS Remera Protestant,11,130,0,0,0.0,10,11,4,11,11,0
ID_SCH_115517,Inyange Girls School,25,218,27,194,97.6,28,28,20,29,28,1
ID_SCH_751636,Lycee de Zaza,3,73,22,253,92.9,18,18,19,22,21,1
ID_SCH_609841,Lycee Notre Dame de Citeaux,2,18,7,25,100.0,17,17,23,9,9,0
ID_SCH_331383,Maranyundo Girls School,16,76,19,154,96.9,18,18,0,22,18,4
ID_SCH_753589,Ps St Jean Paul II,22,604,0,0,0.0,20,22,0,22,22,0
ID_SCH_807704,Ps St Leon Kabgayi,2,62,24,627,96.9,0,18,24,24,24,0
ID_SCH_904726,Rwamagana Leaders School,18,245,17,169,96.4,17,18,0,18,18,0
