school_id,canonical_name,active
ID_SCH_784483,ASYV,True
ID_SCH_662070,CIC Muramba,True
ID_SCH_030625,Cornerstone Leadership Academy,True
ID_SCH_172122,ES Juru,True
ID_SCH_298130,ES Mubuga,True
ID_SCH_066153,Rukomo Sopem,True
ID_SCH_300572,ES Gisenyi,True
ID_SCH_975130,ENDP Karubanda,True
ID_SCH_511502,ES Kirambo,True
ID_SCH_749704,ES Rusumo,True
ID_SCH_271223,ES Gikonko,True
ID_SCH_574873,Es Ruhango,True
ID_SCH_185679,ES Sancta Maria Karambo,True
ID_SCH_997051,Fawe Girls School Gahini,True
ID_SCH_585777,Gs Muhura,True
ID_SCH_557120,St. Matthieu Busasamana,True
ID_SCH_692315,Lycee St Jerome Janja,True
ID_SCH_230968,St Joseph Nyamasheke,True
ID_SCH_941471,GS St Paul Muko,True
ID_SCH_663074,GS Notre Dame Bon Conseil,True
ID_SCH_830588,GS Gihundwe,True
ID_SCH_749630,Gs Gihara,True
ID_SCH_126493,Gs Gishyita,True
ID_SCH_155196,GS Kinigi,True
ID_SCH_452997,GS Maranyundo,True
ID_SCH_145402,Gs Mubuga Gakenke,True
ID_SCH_223450,GS Mubuga N,True
ID_SCH_204644,GS Nyange,True
ID_SCH_665972,GS Rambura Filles,True
ID_SCH_567085,GS Remera Indangamirwa,True
ID_SCH_149854,GS Mburabuturo,True
ID_SCH_308428,GS Nyagasambu,True
ID_SCH_068801,GS Remera Protestant,True
ID_SCH_115517,Inyange Girls School,True
ID_SCH_751636,Lycee de Zaza,True
ID_SCH_609841,Lycee Notre Dame de Citeaux,True
ID_SCH_331383,Maranyundo Girls School,True
ID_SCH_753589,Ps St Jean Paul II,True
ID_SCH_807704,Ps St Leon Kabgayi,True
ID_SCH_904726,Rwamagana Leaders School,True
