school_id,canonical_name,active
ID_SCH_784483,ASYV,TRUE
ID_SCH_662070,CIC Muramba,TRUE
ID_SCH_030625,Cornerstone Leadership Academy,TRUE
ID_SCH_172122,ES Juru,TRUE
ID_SCH_298130,ES Mubuga,TRUE
ID_SCH_066153,Rukomo Sopem,TRUE
ID_SCH_300572,ES Gisenyi,TRUE
ID_SCH_975130,ENDP Karubanda,TRUE
ID_SCH_511502,ES Kirambo,TRUE
ID_SCH_749704,ES Rusumo,TRUE
ID_SCH_271223,ES Gikonko,TRUE
ID_SCH_574873,Es Ruhango,TRUE
ID_SCH_185679,ES Sancta Maria Karambo,TRUE
ID_SCH_997051,Fawe Girls School Gahini,TRUE
ID_SCH_585777,Gs Muhura,TRUE
ID_SCH_557120,St. Matthieu Busasamana,TRUE
ID_SCH_692315,Lycee St Jerome Janja,TRUE
ID_SCH_230968,St Joseph Nyamasheke,TRUE
ID_SCH_941471,GS St Paul Muko,TRUE
ID_SCH_663074,GS Notre Dame Bon Conseil,TRUE
ID_SCH_830588,GS Gihundwe,TRUE
ID_SCH_749630,Gs Gihara,TRUE
ID_SCH_126493,Gs Gishyita,TRUE
ID_SCH_155196,GS Kinigi,TRUE
ID_SCH_452997,GS Maranyundo,TRUE
ID_SCH_145402,Gs Mubuga Gakenke,TRUE
ID_SCH_223450,GS Mubuga N,TRUE
ID_SCH_204644,GS Nyange,TRUE
ID_SCH_665972,GS Rambura Filles,TRUE
ID_SCH_567085,GS Remera Indangamirwa,TRUE
ID_SCH_149854,GS Mburabuturo,TRUE
ID_SCH_308428,GS Nyagasambu,TRUE
ID_SCH_068801,GS Remera Protestant,TRUE
ID_SCH_115517,Inyange Girls School,TRUE
ID_SCH_751636,Lycee de Zaza,TRUE
ID_SCH_609841,Lycee Notre Dame de Citeaux,TRUE
ID_SCH_331383,Maranyundo Girls School,TRUE
ID_SCH_753589,Ps St Jean Paul II,TRUE
ID_SCH_807704,Ps St Leon Kabgayi,TRUE
ID_SCH_904726,Rwamagana Leaders School,TRUE
